0 a_foggy_day, 12.4321 8.4;
1 a_night_in_tunisia, 11.75 6.2;
2 afro_blue, 6.4 2.4;
3 all_of_you, 8.21421 3.6;
4 alone_together, 14.2142 6.6;
5 anthopology, 8.21421 6.4;
6 autumn_in_new_york, 6.11421 6;
7 big_nick, 13.4 4.8;
8 black_narcissus, 2.33205 8;
9 but_beautiful, 9.93607 12;
10 chicken_feathers, 10.1495 10.2;
11 dearly_beloved, 10.8142 6.2;
12 dearly_old_stockholm, 8.21421 1.4;
13 exercise_6, 3.3 4.8;
14 fall, 6.9 10.2;
15 gentle_rain, 4.03205 8.8;
16 golden_lady, 15.8321 8;
17 grand_central, 9.94949 10.2;
18 have_you_met_miss_jones, 12.7142 6.4;
19 hello_young_lovers, 12.4 2.2;
20 the_dolphin, 8.6 4.6;
