0 I-VIIm7, 15.4321 8.4;
1 I-bVIImaj7-Im9-IIm9, 8.91421 6.2;
2 I5-IV, 11.1321 0.4;
3 I5-VI5, 14.2142 0.6;
4 I7-IIIm7, 11.8 6.6;
5 I7-bVIImaj7, 12.3 4.4;
6 I7sus4-VIsus4, 7.61421 6;
7 Iadd11-IV, 10.4 4.8;
8 Iadd9-VIm7-IV6-Iadd9, 12.1 1;
9 Im-#IVmaj7, 2.2 7;
10 Im-IVm7, 0.2 2.2;
11 Im-Im-bIIImaj7-bIIImaj7, 3.4 2.2;
12 Im-VIIm7-VIm7-Vmaj7, 17.2142 6.4;
13 Im-Vm, 11.8 4.8;
14 Im-bIImaj, 5.13205 5.2;
15 Im-bVII-bIII-bVII, 3.71421 6.8;
16 Im-bVII, 6.6 2;
17 Im-bVIIadd11, 5.5 1.2;
18 Im11-Vm11, 6.3 1.4;
19 Im11-Vm9, 6.4 2.2;
20 Im6-Vm9, 2.01421 6.6;
21 Im7-II5, 2.9 4.2;
22 Im7-IVm7, 1.2 4.2;
23 Im7-VIm7-IV-bVIIsus4, 7.6 6.6;
24 Im7-Vm7-bVIIm7-IVm7, 5.2 10.4;
25 Im7-Vm9, 7.41421 6.4;
26 Im7-bVIIm7-Vsus4-bVIIm7, 2.9 4.6;
27 Im9-IV13-bVIm7-Vm7, 6.83205 8.4;
28 Im9-IV13-bVIm9-bII9, 5 10.2;
29 Im9-Vm7, 3 2.6;
30 Im9-Vm9, 6 2.4;
31 Im9-bIIIm7-IVadd9-Bm7, 8.01421 6.8;
32 Im9-bIIImaj9-IIm9-bIIb9, 8.8 10;
33 Im9-bIImaj9-bIIIm9-bVI13-bIIm9, 4.3 10.8;
34 Im9-bVII13-bIImaj9-bIIImaj7, 3.1 4.8;
35 Im9-bVIIm9-bIIm9-bIIIm9, 4.3 10.6;
36 Im9-bVIIm9-bIIm9, 9.73607 12.8;
37 Im9-bVIIm9-bVImaj7, 1.2 4.2;
38 Im9-bVIadd9-VIm9, 10.1361 9;
39 Imaj7-IIIm7-VIImaj7-Imaj7, 17.4 10.2;
40 Imaj7-IIm7, 12 2.2;
41 Imaj7-VIImaj7-Vmaj7-IVmaj7, 13.0321 8.2;
42 Imaj7-VIImaj7-bVIImaj7, 14.6495 6.8;
43 Imaj7-VIImaj7, 17.8 4.2;
44 Imaj7-VIm7, 15.5 4.4;
45 Imaj7-bIIm7-bVIm-bVIm7, 1.73205 8.8;
46 Imaj9-IIIm11-IVmaj9, 14.6 10.2;
47 Imaj9-VIm9-Im9-Vm11, 12.7 10.4;
